Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Djfxmjddpudoyo | Msg_id: 817558144074121258
Auteur: Sabrina 🥀 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ouiii | Msg_id: 817558655481151509
Auteur: Sabrina 🥀 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Super et toiii | Msg_id: 817558666077143042
Auteur: Sabrina 🥀 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ouiiiii et toi | Msg_id: 817558684472836116
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: sd | Msg_id: 817558696862810123
Auteur: Sabrina 🥀 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Jpppppppp | Msg_id: 817558738475024384
Auteur: Sabrina 🥀 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: 😭😭😭😭😭😭😭😭😭😭 | Msg_id: 817558759282311179
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: Jpppppppp | Msg_id: 817558764222677034
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /destroy | Msg_id: 817558899787431986
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: s | Msg_id: 817558907111211030
Auteur: Sabrina 🥀 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Hummm | Msg_id: 817559225890373642
Auteur: Sabrina 🥀 | Channel: 〘🔇〙𝘚𝘢𝘯𝘴-𝘮𝘪𝘤𝘳𝘰 | Message: Ca veut dire quoi | Msg_id: 817559253056749579
Auteur: ZhenZhen ∾ | Channel: 💬-𝘓𝘦-𝘨𝘦𝘯𝘦𝘳𝘢𝘭 | Message: /desto | Msg_id: 817559286829809686
